id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_876,"Empacadora al Vacío EVAC-20P","Empacadora al Vacío 
Marca: Rhino 
Modelo: EVAC-20P 
Prolonga la vida de los productos perecederos hasta 10 veces más. 
 
Con una altura de 100 cm y ruedas giratorias para fácil transportación 
 
  Barra selladora de 51 cm. 
  5 ciclos de tiempo de empacado, hasta 99 segundos. 
  Cuerpo fabricado en acero inoxidable para máxima higiene. 
  Tapa de metacrilato trasparente. 
 
Entrada de corriente. 110 Vca/60 Hz 
 
Potencia del motor: 900 W 
 
Capacidad de la bomba: 20 m3/h 
 
Medidas de cámara de vacío: 55 x 55 x 14 cm 
 
Medidas exteriores: 60 x 65 x 100 cm",https://servicombasculas.com.mx/wp-content/uploads/2020/07/EVAC-20P.jpg,https://servicombasculas.com.mx/tienda/empacadora-al-vacio-evac-20p/,"Maquinaria Comercial","Básculas Digitales",51433MXN,in stock,wc_post_id_876,https://servicombasculas.com.mx/carrito/?add-to-cart=876,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,51433MXN,new,published,,
wc_post_id_874,"Empacadora al Vacío EVAC-20","Empacadora al Vacío 
Marca: Rhino 
Modelo: EVAC-20 
Prolonga la vida de los productos perecederos hasta 10 veces más. 
 
  Barra selladora de 41 cm. 
  5 ciclos de tiempo de empacado, hasta 99 segundos. 
  Cuerpo fabricado en acero inoxidable para máxima higiene. 
  Tapa de metacrilato transparente. 
 
Entrada de corriente: 110 Vca/ 60 Hz 
 
Potencia del motor: 900 W 
 
Capacidad de bomba: 20 m3/h 
 
Cámara de vacío: 45 x 45 x 14 cm 
 
Medidas exteriores: 50 x 55 x 50 cm",https://servicombasculas.com.mx/wp-content/uploads/2020/07/EVAC-20.jpg,https://servicombasculas.com.mx/tienda/empacadora-al-vacio-evac-20/,"Maquinaria Comercial","Básculas Digitales",41760MXN,in stock,wc_post_id_874,https://servicombasculas.com.mx/carrito/?add-to-cart=874,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,41760MXN,new,published,,
wc_post_id_872,"Empacadora al Vacío EVAC-8","Empacadora al vacío 
Marca: Rino 
Modelo: EVAC-8 
Prolonga la vida de los productos perecederos hasta 10 veces más. 
 
  Barra selladora de 27 cm. 
  5 ciclos de tiempo de empacado, hasta 99 segundos. 
  Cuerpo fabricado en acero inoxidable para máxima higiene. 
  Tapa de metacrilato transparente. 
 
Entrada de corriente: 110 Vca/60 Hz 
 
Potencia del motor. 400 W 
 
Capacidad de bomba: 8 m3/h 
 
Cámara de vacío: 29 x 39 x 10 cm 
 
Medidas exteriores: 48 x 33 x 35 cm",https://servicombasculas.com.mx/wp-content/uploads/2020/07/EVAC-8.jpg,https://servicombasculas.com.mx/tienda/empacadora-al-vacio-evac-8/,"Maquinaria Comercial","Básculas Digitales",30346MXN,in stock,wc_post_id_872,https://servicombasculas.com.mx/carrito/?add-to-cart=872,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30346MXN,new,published,,
wc_post_id_867,"Batidora Planetaria de 27 litros BATI-30","Batidora Planetaria de 27 litros 
Marca: Rhino 
Modelo: BATI-30 
Batidora con potente motor de 1.5 hp, con acción planetaria que permite al batidor girar sobre su propio eje y además haga un recorrido circular continuo para elaborar grandes cantidades. Para elaboración de pastelería, bizcochería y pan de masa ligera. 
 
  3 velocidades (amasa, mezcla y bate). 
  Tazón de acero inoxidable. 
  Reja protectora. 
 
Capacidad de tazón: 27 litros. 
 
Capacidad de amasado: 5.25 kg 
 
Velocidades: 3 
 
Velocidad: 105/180/408 RPM 
 
Voltaje: 127 V 60 Hz 
 
Potencia: 1,100 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/BATI-30.jpg,https://servicombasculas.com.mx/tienda/batidora-planetaria-de-27-litros-bati-30/,"Maquinaria Comercial","Básculas Digitales",29460MXN,in stock,wc_post_id_867,https://servicombasculas.com.mx/carrito/?add-to-cart=867,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,29460MXN,new,published,,
wc_post_id_864,"Batidora Planetaria de 20 litros BATI-20","Batidora Planetaria de 20 litros 
Marca: Rhino 
Modelo: BATI-20 
Su acción planetaria permite que el batidor gire sobre su propio eje y además haga un recorrido circular continuo. Para elaboración de pastelería, bizcochería y pan de masa ligera. Incluye accesorios para mezclar, batir y amasar. 
 
  3 velocidades. 
  Tazón de acero inoxidable. 
  Reja protectora. 
 
Capacidad de tazón: 20 litros 
 
Capacidad de amasado: 4.5 kg 
 
Velocidades: 3 
 
Velocidad: 105/180/408 RPM 
 
Voltaje: 127 V 60 Hz 
 
Potencia: 750 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/BATI-20.jpg,https://servicombasculas.com.mx/tienda/batidora-planetaria-de-20-litros-bati-20/,"Maquinaria Comercial","Básculas Digitales",27287MXN,in stock,wc_post_id_864,https://servicombasculas.com.mx/carrito/?add-to-cart=864,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,27287MXN,new,published,,
wc_post_id_862,"Batidora Planetaria de 10 litros BATI-10","Batidora Planetaria de 10 litros 
Marca: Rhino 
Modelo: BATI-10 
Su acción planetaria permite que el batidor gire sobre su propio eje y además haga un recorrido circular continuo. Para elaboración de pastelería, bizcochería y pan de masa ligera. Incluye accesorios para mezclar, batir y amasar. 
 
  3 velocidades. 
  Tazón de acero inoxidable. 
  Reja protectora. 
 
Capacidad tazón: 10 litros 
 
Capacidad amasado: 1.5 kg 
 
Velocidades: 3 
 
Voltaje: 110/178/390 RMP 
 
Voltaje: 127 V 60 Hz 
 
Potencia: 450 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/BATI-10.jpg,https://servicombasculas.com.mx/tienda/batidora-planetaria-de-10-litros-bati-10/,"Maquinaria Comercial","Básculas Digitales",19740MXN,in stock,wc_post_id_862,https://servicombasculas.com.mx/carrito/?add-to-cart=862,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,19740MXN,new,published,,
wc_post_id_860,"Batidora Planetaria de 7 litros BATI-7","Batidora Planetaria de 7 litros 
Marca: Rhino 
Modelo: BATI-7 
Para preparar pastelería, bizcochería y pan de masa ligera. Incluye accesorios para mezclar, batir y amasar. 
 
  10 Velocidades. 
  Tazón de acero inoxidable. 
  Cubierta plástica de protección. 
 
Capacidad de tazón: 7 litros 
 
Capacidad de amasado: 0.6kg 
 
Velocidad: 0 a 780 RPM 
 
Voltaje: 127 V 60 Hz 
 
Potencia: 350 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/BATI-7.jpg,https://servicombasculas.com.mx/tienda/batidora-planetaria-de-7-litros-bati-7/,"Maquinaria Comercial","Básculas Digitales",12855MXN,in stock,wc_post_id_860,https://servicombasculas.com.mx/carrito/?add-to-cart=860,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,12855MXN,new,published,,
wc_post_id_858,"Amasadora de 50 litros AMASA-50","Amasadora de 50 litros 
Marca: Rhino 
Modelo: AMASA-50 
Construcción robusta, motor de 4 hp. Rotación de espiral y tazón para un buen amasado inclusive con poca masa. 
 
  Doble acción giratoria (mezclador y tazón). 
  Temporizador de 60 minutos para optimización de la producción. 
  Tazón, espiral y rejilla fabricados en acero inoxidable. 
 
Capacidad de tazón: 50 litros 
 
Capacidad de amasado: 30 kg 
 
Voltaje: 220 V 60 Hz 
 
Potencia: 3,000 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/AMASA-50.jpg,https://servicombasculas.com.mx/tienda/amasadora-de-50-litros-amasa-50/,"Maquinaria Comercial","Básculas Digitales",40970MXN,in stock,wc_post_id_858,https://servicombasculas.com.mx/carrito/?add-to-cart=858,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40970MXN,new,published,,
wc_post_id_856,"Amasadora de 20 litros AMASA-20","Amasadora de 20 litros 
Marca: Rhino 
Modelo. AMASA-20 
Construcción robusta, motor de 1.5 hp. Rotación de espiral y tazón para un buen amasado inclusive con poca masa. 
 
  Doble acción giratoria (mezclador y tazón). 
  Temporizador de 60 minutos para optimizar la producción. 
  Tazón, espiral y rejilla fabricados en acero inoxidable. 
 
Capacidad de tazón: 20 litros 
 
Capacidad de amasado: 12 kg 
 
Voltaje: 127 V 60 Hz 
 
Potencia: 1,100 W",https://servicombasculas.com.mx/wp-content/uploads/2020/07/AMASA-20.jpg,https://servicombasculas.com.mx/tienda/amasadora-de-20-litros-amasa-20/,"Maquinaria Comercial","Básculas Digitales",27273MXN,in stock,wc_post_id_856,https://servicombasculas.com.mx/carrito/?add-to-cart=856,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,27273MXN,new,published,,
wc_post_id_851,"Báscula de Plataforma de 1.5 tonelada BAPER-12","Báscula de Plataforma de 1.5 tonelada 
Marca: Advance 
Modelo: BAPER-12 
Ideales para recibo de mercancía en almacenes. Pueden usarse en piso o fosa. 
 
  Celdas de carga fabricadas en acero. 
  Caja de sumas resistente al agua (IP64). 
  Superficie de diamante antiderrapante. 
 
Capacidad: 1.5 tonelada 
 
Precisión: 500 g 
 
Material: Acero al carbono 
 
Altura: 11 cm 
 
Clase: Media lll",https://servicombasculas.com.mx/wp-content/uploads/2020/07/BAPER-12.jpg,https://servicombasculas.com.mx/tienda/bascula-de-plataforma-de-1-5-tonelada-baper-12/,"Básculas de Plataforma","Básculas Digitales",13500MXN,in stock,wc_post_id_851,https://servicombasculas.com.mx/carrito/?add-to-cart=851,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,13500MXN,new,published,,
